! --------------------------------------------------------------- !
!  ELCOM Temporal Boundary Condition file
!  Generated by ARMS
! !
! File was created from the following resources on 2015-06-24 06:07:10
! HEADER               BC     ARMS Address
! INFLOW               1     FCR Weir Inflow 1 Drain
! WTR_TEMP			   2     FCR Weir Inflow Temp 1 Drain
! SALINITY			   3     FCR Weir Inflow Salinity 1 Drain
! --------------------------------------------------------------- !
3 data sets
0 seconds between data
0         1        1            1
TIME	INFLOW	WTR_TEMP	SALINITY
2022046.5417	0.0167	0.011875	0
2022046.5833	0.0084	0.020125	0
2022046.6250	0.0057	0.096625	0
2022046.6667	0.0058	0.361125	0
2022046.7083	0.0059	0.840625	0
2022046.7500	0.006	1.615375	0
2022046.7917	0.0062	2.494875	0
2022046.8333	0.0063	3.0275	0
2022046.8750	0.0063	3.10875	0
2022046.9167	0.0063	2.753875	0
2022046.9583	0.0063	2.1535	0
2022047.0000	0.0063	1.687625	0
2022047.0417	0.0062	1.44975	0
2022047.0833	0.0062	1.297125	0
2022047.1250	0.006	1.1855	0
2022047.1667	0.006	1.0455	0
2022047.2083	0.006	0.882125	0
2022047.2500	0.0059	0.835125	0
2022047.2917	0.0058	0.714	0
2022047.3333	0.0059	0.608875	0
2022047.3750	0.0058	0.581	0
2022047.4167	0.0059	0.5255	0
2022047.4583	0.0059	0.60825	0
2022047.5000	0.0058	0.930375	0
2022047.5417	0.0058	1.278125	0
2022047.5833	0.0058	1.7465	0
2022047.6250	0.0058	2.199125	0
2022047.6667	0.0057	2.7475	0
2022047.7083	0.0058	4.031375	0
2022047.7500	0.0058	4.914625	0
2022047.7917	0.0059	5.204625	0
2022047.8333	0.0061	5.3695	0
2022047.8750	0.0061	5.09875	0
2022047.9167	0.0061	4.96925	0
2022047.9583	0.0061	4.331875	0
2022048.0000	0.0063	3.876375	0
2022048.0417	0.0062	3.87525	0
2022048.0833	0.0062	4.338	0
2022048.1250	0.0061	4.684125	0
2022048.1667	0.0061	4.972	0
2022048.2083	0.0062	5.257375	0
2022048.2500	0.006	5.33075	0
2022048.2917	0.0061	5.305625	0
2022048.3333	0.006	5.45325	0
2022048.3750	0.0061	5.588375	0
2022048.4167	0.0061	5.63075	0
2022048.4583	0.0061	5.762875	0
2022048.5000	0.0062	5.85725	0
2022048.5417	0.0063	6.28775	0
2022048.5833	0.0062	6.8985	0
2022048.6250	0.006	7.086375	0
2022048.6667	0.0061	7.29175	0
2022048.7083	0.006	7.527625	0
2022048.7500	0.0059	7.8845	0
2022048.7917	0.006	8.150125	0
2022048.8333	0.0062	8.241375	0
2022048.8750	0.0062	8.347625	0
2022048.9167	0.0061	8.63	0
2022048.9583	0.0063	9.01875	0
2022049.0000	0.0063	9.09875	0
2022049.0417	0.0063	9.27	0
2022049.0833	0.0065	9.16375	0
2022049.1250	0.0065	9.2625	0
2022049.1667	0.0069	9.3475	0
2022049.2083	0.008	9.545	0
2022049.2500	0.0119	9.595	0
2022049.2917	0.0234	9.0425	0
2022049.3333	0.0182	8.86125	0
2022049.3750	0.014	8.905	0
2022049.4167	0.0118	8.81875	0
2022049.4583	0.0114	8.2535	0
2022049.5000	0.0105	7.57375	0
2022049.5417	0.0101	7.04375	0
2022049.5833	0.0098	6.761375	0
2022049.6250	0.0097	6.573125	0
2022049.6667	0.0093	7.24125	0
2022049.7083	0.0092	7.57675	0
2022049.7500	0.0086	7.237625	0
2022049.7917	0.0085	7.40675	0
2022049.8333	0.0082	7.081625	0
2022049.8750	0.0079	6.373125	0
2022049.9167	0.0077	5.578	0
2022049.9583	0.0079	4.816	0
2022050.0000	0.0077	4.257375	0
2022050.0417	0.0076	3.901875	0
2022050.0833	0.0076	3.57525	0
2022050.1250	0.0074	3.2875	0
2022050.1667	0.0074	3.032125	0
2022050.2083	0.0074	2.6735	0
2022050.2500	0.0074	2.48	0
2022050.2917	0.0072	2.287375	0
2022050.3333	0.0073	2.091125	0
2022050.3750	0.0076	1.87625	0
2022050.4167	0.0074	1.64875	0
2022050.4583	0.0074	1.5015	0
2022050.5000	0.0072	1.33325	0
2022050.5417	0.0071	1.417375	0
2022050.5833	0.007	1.71	0
2022050.6250	0.0069	2.454625	0
2022050.6667	0.0071	3.904625	0
2022050.7083	0.0074	5.000375	0
2022050.7500	0.0071	5.050375	0
2022050.7917	0.0072	5.352125	0
2022050.8333	0.0071	5.13475	0
2022050.8750	0.0072	4.68325	0
2022050.9167	0.0072	3.9215	0
2022050.9583	0.0074	3.285	0
2022051.0000	0.0074	2.85325	0
2022051.0417	0.0073	2.501625	0
2022051.0833	0.0072	2.11925	0
2022051.1250	0.0073	1.89825	0
2022051.1667	0.0073	1.701625	0
2022051.2083	0.0073	1.530875	0
2022051.2500	0.0071	1.337125	0
2022051.2917	0.0071	1.14675	0
2022051.3333	0.0072	0.940625	0
2022051.3750	0.0071	0.765875	0
2022051.4167	0.007	0.6265	0
2022051.4583	0.0071	0.5065	0
2022051.5000	0.0071	0.38225	0
2022051.5417	0.0071	0.389625	0
2022051.5833	0.0066	0.635875	0
2022051.6250	0.0065	1.311	0
2022051.6667	0.0066	2.397125	0
2022051.7083	0.0067	3.392	0
2022051.7500	0.0068	4.04425	0
2022051.7917	0.0068	4.680625	0
2022051.8333	0.0067	4.758125	0
2022051.8750	0.0068	4.5415	0
2022051.9167	0.0067	4.11225	0
2022051.9583	0.0067	3.4885	0
2022052.0000	0.0067	2.987625	0
2022052.0417	0.0067	2.66625	0
2022052.0833	0.0068	2.4	0
2022052.1250	0.0068	2.137125	0
2022052.1667	0.0069	1.956875	0
2022052.2083	0.0068	1.798	0
2022052.2500	0.0068	1.6305	0
2022052.2917	0.0068	1.48025	0
2022052.3333	0.0068	1.343625	0
2022052.3750	0.0067	1.245875	0
2022052.4167	0.0068	1.169125	0
2022052.4583	0.0068	1.163125	0
2022052.5000	0.0068	1.18925	0
2022052.5417	0.0068	1.328625	0
2022052.5833	0.0065	1.693375	0
2022052.6250	0.0064	2.725875	0
2022052.6667	0.0065	4.255375	0
2022052.7083	0.0066	5.58725	0
2022052.7500	0.0065	6.479	0
2022052.7917	0.0067	7.245	0
2022052.8333	0.0067	7.29225	0
2022052.8750	0.0067	7.0945	0
2022052.9167	0.0065	6.688125	0
2022052.9583	0.0066	6.206875	0
2022053.0000	0.0065	6.0465	0
2022053.0417	0.0066	5.953875	0
2022053.0833	0.0067	5.790125	0
2022053.1250	0.0066	5.966625	0
2022053.1667	0.0067	6.149375	0
2022053.2083	0.0067	6.32225	0
2022053.2500	0.0067	6.341	0
2022053.2917	0.0067	6.371	0
2022053.3333	0.0067	6.456375	0
2022053.3750	0.0068	6.393125	0
2022053.4167	0.0067	6.471625	0
2022053.4583	0.0067	6.633	0
2022053.5000	0.0067	6.768125	0
2022053.5417	0.0071	6.980625	0
2022053.5833	0.0072	7.199125	0
2022053.6250	0.0076	7.39625	0
2022053.6667	0.0079	7.601	0
2022053.7083	0.0083	7.899375	0
2022053.7500	0.0085	7.978625	0
2022053.7917	0.0092	8.036	0
2022053.8333	0.0091	8.3125	0
2022053.8750	0.0083	8.6875	0
2022053.9167	0.008	8.8225	0
2022053.9583	0.0081	8.5675	0
2022054.0000	0.0083	8.36	0
2022054.0417	0.0089	8.2375	0
2022054.0833	0.0086	8.20875	0
2022054.1250	0.0081	8.22625	0
2022054.1667	0.0079	8.3175	0
2022054.2083	0.008	8.51125	0
2022054.2500	0.0077	8.46375	0
2022054.2917	0.0077	8.49375	0
2022054.3333	0.0077	8.46625	0
2022054.3750	0.0077	8.36	0
2022054.4167	0.008	8.3925	0
2022054.4583	0.0085	8.37875	0
2022054.5000	0.01	8.355	0
2022054.5417	0.0105	8.41625	0
2022054.5833	0.0105	8.79125	0
2022054.6250	0.0096	9.6275	0
2022054.6667	0.0091	10.20875	0
2022054.7083	0.0087	11.075	0
2022054.7500	0.0086	11.65875	0
2022054.7917	0.0086	12.07375	0
2022054.8333	0.0085	12.16375	0
2022054.8750	0.0083	11.80375	0
2022054.9167	0.0082	11.18625	0
2022054.9583	0.008	10.45125	0
2022055.0000	0.008	9.905	0
2022055.0417	0.008	9.505	0
2022055.0833	0.0083	9.19875	0
2022055.1250	0.0083	9.05375	0
2022055.1667	0.0077	8.9325	0
2022055.2083	0.0074	8.795	0
2022055.2500	0.0072	8.6675	0
2022055.2917	0.0077	8.5775	0
2022055.3333	0.0075	8.45	0
2022055.3750	0.0075	8.44125	0
2022055.4167	0.0076	8.42375	0
2022055.4583	0.0078	8.086625	0
2022055.5000	0.0081	7.571875	0
2022055.5417	0.0095	7.0905	0
2022055.5833	0.0126	6.691625	0
2022055.6250	0.0181	6.41975	0
2022055.6667	0.0226	6.176	0
2022055.7083	0.0299	6.213375	0
2022055.7500	0.0328	6.33	0
2022055.7917	0.0309	6.246125	0
2022055.8333	0.0297	6.134125	0
2022055.8750	0.0264	6.02775	0
2022055.9167	0.0248	5.857875	0
2022055.9583	0.0243	5.663625	0
2022056.0000	0.0238	5.49875	0
2022056.0417	0.0226	5.2905	0
2022056.0833	0.0227	5.156	0
2022056.1250	0.0213	5.0655	0
2022056.1667	0.0209	4.972125	0
2022056.2083	0.0203	4.931625	0
2022056.2500	0.0201	4.86625	0
2022056.2917	0.0197	4.817875	0
2022056.3333	0.0193	4.69325	0
2022056.3750	0.0189	4.64375	0
2022056.4167	0.0187	4.60975	0
2022056.4583	0.0186	4.602875	0
2022056.5000	0.0184	4.640375	0
2022056.5417	0.0198	4.766875	0
2022056.5833	0.0207	5.33775	0
2022056.6250	0.0208	6.16525	0
2022056.6667	0.0196	7.67125	0
2022056.7083	0.0198	8.89125	0
2022056.7500	0.0194	9.6125	0
2022056.7917	0.0186	9.81875	0
2022056.8333	0.0181	9.4325	0
2022056.8750	0.0176	8.77625	0
2022056.9167	0.0175	7.951875	0
2022056.9583	0.017	7.267	0
2022057.0000	0.0169	6.64675	0
2022057.0417	0.0165	6.07875	0
2022057.0833	0.0164	5.672625	0
2022057.1250	0.0164	5.397625	0
2022057.1667	0.0166	5.087625	0
2022057.2083	0.0156	4.899875	0
2022057.2500	0.0154	4.76775	0
2022057.2917	0.015	4.686125	0
2022057.3333	0.0149	4.598875	0
2022057.3750	0.0149	4.548875	0
2022057.4167	0.0147	4.451	0
2022057.4583	0.014	4.368875	0
2022057.5000	0.0141	4.3005	0
2022057.5417	0.014	4.3995	0
2022057.5833	0.0136	4.604625	0
2022057.6250	0.0136	5.04775	0
2022057.6667	0.0132	5.8705	0
2022057.7083	0.0131	6.779625	0
2022057.7500	0.0129	7.053875	0
2022057.7917	0.0129	7.13775	0
